Building_id,damage_grade
11456,2
16528,2
3253,2
18614,2
1544,2
12568,2
15497,2
13987,2
9598,2
6668,2
4244,2
17420,2
5781,2
4570,2
15716,2
2401,2
6295,2
16204,2
10057,2
415,2
5642,2
8266,2
8645,2
7331,2
8214,2
10786,2
3729,2
6793,2
4895,2
3169,2
12492,2
10811,2
14233,2
13769,2
6595,2
16324,2
18336,2
5065,2
10985,2
3153,2
4908,2
19728,2
644,2
6096,2
7484,2
8829,2
6052,2
4218,2
11823,2
19005,2
7239,2
1841,2
4120,2
17580,2
8181,2
3835,2
8876,2
7915,2
14108,2
7716,2
6753,2
19206,2
2247,2
2655,2
17958,2
19483,2
8736,2
17843,2
9958,2
891,2
2782,2
1104,2
12143,2
12031,2
13667,2
8561,2
4385,2
2784,2
9119,2
3198,2
5674,2
2055,2
8018,2
4,2
7661,2
1332,2
7803,2
17122,2
11939,2
8222,2
14626,2
72,2
15675,2
7076,2
1463,2
2277,2
8069,2
11148,2
14480,2
3894,2
6636,2
12209,2
596,2
15216,2
9624,2
12787,2
18434,2
168,2
11635,2
2029,2
2036,2
14667,2
4476,2
343,2
1916,2
6016,2
9826,2
7763,2
7424,2
5213,2
19916,2
18485,2
16474,2
17514,2
18300,2
13375,2
9755,2
18787,2
12453,2
17640,2
3833,2
5953,2
7970,2
9726,2
14276,2
9262,2
15783,2
5743,2
16667,2
7639,2
18500,2
14459,2
10755,2
18726,2
88,2
3301,2
16581,2
19850,2
3095,2
11902,2
10488,2
9008,2
12656,2
18383,2
19246,2
18538,2
1288,2
15600,2
10610,2
16845,2
16622,2
11946,2
943,2
14095,2
5977,2
16685,2
19410,2
14958,2
10691,2
14955,2
811,2
6981,2
516,2
13622,2
8120,2
9628,2
5101,2
7719,2
14378,2
10902,2
9373,2
1602,2
14793,2
8094,2
3914,2
14310,2
18524,2
10434,2
1852,2
14277,2
2385,2
18580,2
4535,2
8161,2
9691,2
8410,2
1416,2
5717,2
17064,2
16865,2
16737,2
3946,2
12784,2
4696,2
201,2
18733,2
16101,2
8682,2
16125,2
8543,2
5369,2
9270,2
13848,2
19290,2
18863,2
9645,2
17560,2
10179,2
8735,2
19536,2
11056,2
18089,2
5902,2
14166,2
4806,2
14946,2
11652,2
3136,2
10349,2
17358,2
9355,2
6055,2
2802,2
134,2
10814,2
11749,2
3267,2
6632,2
5296,2
506,2
3844,2
12966,2
14032,2
837,2
19249,2
10069,2
17350,2
4380,2
6538,2
1390,2
5425,2
14478,2
10090,2
3561,2
12941,2
1270,2
11523,2
3294,2
5421,2
1360,2
14960,2
6654,2
6754,2
7535,2
2544,2
7353,2
8849,2
19223,2
14299,2
6707,2
9336,2
2061,2
4451,2
1070,2
9960,2
8136,2
18832,2
5197,2
11352,2
11033,2
10051,2
11793,2
6190,2
1295,2
4839,2
13828,2
18796,2
14128,2
3810,2
12660,2
19014,2
16223,2
2834,2
3128,2
18144,2
3158,2
11153,2
19827,2
5114,2
19671,2
490,2
2591,2
387,2
11471,2
4838,2
7268,2
12529,2
12124,2
10829,2
13423,2
13355,2
7935,2
19776,2
10888,2
3308,2
3057,2
17060,2
16175,2
19793,2
11846,2
4316,2
5529,2
5398,2
15664,2
6882,2
736,2
16800,2
332,2
16242,2
1539,2
15144,2
9428,2
1901,2
10032,2
14859,2
12626,2
10308,2
4286,2
6187,2
15546,2
18801,2
938,2
4403,2
5085,2
19583,2
1181,2
5252,2
6279,2
2573,2
2404,2
6560,2
10257,2
9602,2
11659,2
625,2
12024,2
17295,2
7290,2
15483,2
5988,2
15079,2
19881,2
7622,2
4235,2
16262,2
5853,2
455,2
5220,2
1225,2
14688,2
17185,2
4386,2
4774,2
10850,2
7205,2
370,2
14455,2
15457,2
11930,2
17562,2
6332,2
19036,2
13225,2
15919,2
3994,2
15298,2
2164,2
9506,2
10574,2
2590,2
5360,2
8767,2
4674,2
4473,2
4640,2
4885,2
4281,2
16531,2
391,2
1637,2
9203,2
14864,2
7459,2
859,2
16656,2
12396,2
12155,2
16003,2
19937,2
13405,2
4530,2
18173,2
10922,2
5056,2
9174,2
14460,2
18128,2
14449,2
18548,2
17807,2
15754,2
14533,2
17159,2
13872,2
5373,2
12963,2
1691,2
19752,2
11404,2
2552,2
13465,2
18544,2
14226,2
15566,2
12535,2
13190,2
4445,2
17342,2
9617,2
12542,2
12926,2
9089,2
10592,2
6394,2
9014,2
14492,2
11875,2
2836,2
8488,2
10778,2
13129,2
994,2
11839,2
9871,2
11934,2
3231,2
11034,2
11925,2
7450,2
4677,2
1428,2
18577,2
19278,2
6141,2
14440,2
6091,2
15744,2
7652,2
3345,2
13616,2
813,2
13978,2
12447,2
16476,2
3809,2
3565,2
19354,2
12010,2
18728,2
2217,2
18972,2
4668,2
292,2
13185,2
14021,2
14567,2
7231,2
4339,2
16485,2
8263,2
15828,2
5488,2
9676,2
19935,2
11499,2
5514,2
14693,2
8096,2
15672,2
10353,2
17394,2
4933,2
4685,2
18607,2
7,2
12344,2
2893,2
3899,2
3543,2
8363,2
9710,2
662,2
13765,2
5994,2
6619,2
17610,2
10419,2
8567,2
1921,2
9142,2
16248,2
16450,2
7638,2
16818,2
8400,2
19171,2
8110,2
18740,2
11900,2
19619,2
5962,2
19990,2
1953,2
19064,2
6967,2
11188,2
6951,2
8297,2
4173,2
16719,2
17547,2
18341,2
15085,2
17096,2
9532,2
2877,2
2937,2
8996,2
8067,2
8327,2
18650,2
11357,2
14349,2
5309,2
10891,2
1998,2
19836,2
5752,2
13183,2
9860,2
6154,2
15601,2
9546,2
4904,2
10555,2
15038,2
15257,2
7124,2
15336,2
1891,2
16653,2
4755,2
11193,2
15021,2
18460,2
19839,2
2575,2
15839,2
3737,2
18721,2
296,2
9098,2
18631,2
10463,2
1936,2
11219,2
11403,2
10791,2
5709,2
2862,2
2278,2
9937,2
9748,2
5895,2
2219,2
19980,2
7777,2
18318,2
866,2
19400,2
14680,2
13803,2
18588,2
4688,2
4778,2
324,2
5134,2
5291,2
2226,2
4005,2
3979,2
16424,2
10682,2
5894,2
741,2
1242,2
9305,2
4383,2
2232,2
14490,2
19193,2
5385,2
19513,2
5542,2
10326,2
15822,2
17867,2
4330,2
19126,2
2047,2
5931,2
6505,2
14755,2
15293,2
16771,2
19376,2
6458,2
7252,2
7863,2
12296,2
3780,2
7487,2
18798,2
8564,2
4088,2
9615,2
3783,2
12831,2
3842,2
14151,2
18893,2
11211,2
19558,2
14395,2
16968,2
10780,2
3315,2
4575,2
10697,2
11395,2
2752,2
5190,2
13908,2
15808,2
13259,2
5238,2
6104,2
3603,2
6369,2
3427,2
1520,2
12140,2
15367,2
13995,2
14380,2
5063,2
12336,2
3435,2
9914,2
1251,2
12609,2
2843,2
10853,2
9404,2
8672,2
14888,2
4222,2
14090,2
14031,2
9554,2
4801,2
8434,2
8602,2
3284,2
7600,2
8032,2
12284,2
10421,2
9815,2
